ordem,html,tipo,titulo,caminho,url_origem,descricao,imagens_base,marcadores,rotulos,uso_no_produto,rota_sugerida
288,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/06_compound-6/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 6,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-6/,"A compound acinar gland is composed entirely of acinar (alveolar) secretory units. Each spherical acinus is composed of cells with prominent, spherical nuclei and numerous secretory granules. The lumen of each acinus is very narrow, appropriate for the thin, watery secretion of the acinar cells. Numerous intralobular ducts are also visible. Parotid gland 400x",1,9,Acini | Nuclei of secretory (acinar) cells | Secretory granules | Lumens of acini | Intralobular ducts | Structure of compound acinar gland | Interlobular ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-6
289,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/07_compound-7/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 7,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-7/,"This image shows a number of acini along with an intralobular duct in a compound acinar salivary gland. The acinar cells are filled with secretory granules that are better termed zymogen granules since they contain enzymes, mostly amylase to break down starch. Parotid gland 1000x",1,4,Acini | Acinar lumen | Secretory granules | Intralobular duct,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-7
290,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/08_compound-8/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 8,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-8/,This compound acinar gland shows acini typically organized like a cluster of grapes. Each acinus represents a single grape and the intralobular ducts represent the smallest stems. The acinar cells are filled with zymogen (enzyme-containing) secretory granules. Parotid gland 1000x,1,4,Acini | Acinar lumens | Secretory granules | Acinar cell nuclei,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-8
291,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/09_compound-9/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 9,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-9/,"The pancreas is another example of a compound acinar gland. Like the parotid gland, the acini are spherical, with wedge-shaped cells. The cells accumulate eosinophilic secretory granules in their apices and display prominent basophilic rough endoplasmic reticulum at their bases. The compound duct system is also visible in this image. Pancreas 400x",1,6,Acini | Nuclei of secretory cells | RER | Secretory granules | Intralobular duct | Capillaries,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-9
292,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/10_compound-10/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 10,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-10/,Exocrine cells are polarized to secrete toward an epithelial surface. Basal rough endoplasmic reticulum synthesizes proteins that are packaged as secretory granules located in the apex of each cell. Contents of secretory granules are released into the acinar lumen by the merocrine mode of secretion. Pancreas 1000x,1,6,Acinus | Acinar cells | Nuclei of acinar cells | RER | Secretory granules | Lumen of the acinus,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-10
293,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/11_compound-11/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 11,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-11/,"Compound acinar glands demonstrate polarity. The base of each cell contains its nucleus and RER. Secretory granules accumulate in the apical portions of the acinar cells, and their contents are released by the merocrine mode of secretion into the acinar lumen. Pancreas 1200x",1,5,Acini | Acinar cells | Nuclei of acinar cells | RER | Secretory granules,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-11
294,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/12_compound-12/index.html,página de lâmina,Compound acinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 12,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-12/,"This electron micrograph shows an acinus from a compound acinar gland. These highly polarized cells show prominent, basally located RER and numerous apical secretory granules. The granules contain digestive enzymes which are secreted by the merocrine mode of secretion into the central lumen of the acinus. Pancreas 3000x",1,5,Acinar cells | RER | Secretory granules | Secreted product in acinar lumen | Nucleus,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-12
295,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/13_compound-13/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 13,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-13/,"A compound, tubuloacinar gland consists of both tubular and acinar secretory units and the gland is subdivided by connective tissue into lobules Draining the secretory units are intralobular ducts, which are contained entirely within the lobule. Interlobular ducts are located in the interlobular connective tissue and drain multiple lobules. This gland is the submandibular (submaxillary) gland which is one of the major salivary glands. Submandibular gland 40x",1,5,Lobule | Intralobular ducts | Interlobular ducts | Interlobular connective tissue | Blood vessels,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-13
296,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/14_compound-14/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 14,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-14/,The secretory units in this gland consist of spherical acini and elongated tubules. Their secretions are immediately drained by intralobular ducts which flow into larger interlobular ducts located in the interlobular connective tissue between lobules. Interlobular ducts are often lined by a stratified columnar epithelium. Submandibular gland 400x,1,8,Acini | Tubules | Intralobular ducts | Interlobular duct | Stratified columnar epithelium | Lumen of ducts with saliva | Interlobular connective tissue | Blood vessels,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-14
297,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/15_compound-15/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 15,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-15/,"A lobule of a compound tubuloacinar gland displays both elongated, mucus-secreting tubules and spherical, serous-secreting acini. Intralobular ducts are also visible. This gland is the submandibular (submaxillary) salivary gland and the saliva it secretes contains both mucus and serous components. 400x",1,3,Mucus-secreting tubules | Serous-secreting acini | Intralobular ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-15
298,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/16_compound-16/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 16,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-16/,"Mucus-secreting cells are easily distinguished from those releasing a serous product. Mucous cells are frothy in appearance and are arranged as tubules with wide lumens. Serous-secreting cells can be arranged as acini or as serous demilunes. Each acinus has a small lumen surrounded by wedge-shaped cells with secretory granules. Serous demilunes possess similar cells, but they are configured as crescent-shaped units capping the ends of tubules. Submandibular 1000x",1,6,Serous-secreting acini | Secretory granules | Mucus-secreting tubules | Mucin | Mucous tubule lumens | Serous demilunes,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-16
299,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/17_compound-17/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 17,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-17/,"The morphology of serous and mucous secretory units is demonstrated in this image. Each serous unit is acinar with a narrow lumen and contains cells with secretory granules and spherical nuclei. Each mucous unit is tubular with a wide lumen. The secretory cells appear vacuolated, with nuclei flattened at the base of the cell. Submandibular gland 1000x",1,10,Mucus-secreting tubules | Nuclei of mucous cells | Mucin granules | Tubule lumens | Serous-secreting acini | Nuclei of serous cells | Secretory granules | Acinar lumens | Serous demilunes | Intralobular ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-17
300,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/18_compound-18/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 18,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-18/,"A mucus-secreting tubule is seen in cross section (lower left), then turning and extending to the right. Serous acini surround the tubule. At this magnification, the histological features of the tubule and the acinar cells can be seen clearly. Submandibular gland 1200x",1,12,Cross section of tubule | Longitudinal section of tubule | Mucus-secreting cells | Mucin granules | Tubule cell nuclei | Tubule lumen | Acinus | Acinar cells | Secretory granules | Acinar cell nuclei | Acinar lumen | Serous demilunes,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-18
301,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/19_compound-19/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 19,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-19/,"In this compound tubuloacinar gland the mucus-secreting tubules far outnumber serous acini. Serous acini are less numerous, and many serous-secreting cells are located in serous demilunes. Sublingual gland 100x",1,3,Mucus-secreting tubules | Serous acini | Intralobular ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-19
302,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/20_compound-20/index.html,página de lâmina,Compound tubuloacinar gland,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 20,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-20/,"This salivary gland is primarily a mucus-secreting gland, with only small areas dedicated to serous secretion. The well developed tubules display wide lumens and cells with basally located nuclei and foamy cytoplasm. A portion of an intralobular duct is also visible. Sublingual gland 400x",1,4,Acini | Tubules | Tubule lumens | Intralobular duct,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-20
303,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/21_compound-21/index.html,página de lâmina,Mucus-secreting tubule,Tecidos > Epitélio > Glandular > Exocrine > Compound > Compound 21,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/compound-21/,The presence of mucin granules in the cells of this mucus-secreting tubule accounts for their foamy appearance seen with the light microscope. The granules contain mucin proteins which become hydrated to form mucus after their release. Trachea 5000x,1,5,Mucin granules | RER | Nuclei | Lumen with mucus | Capillary with red blood cell,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound/compound-21
304,03_tecidos/02_epitelio/02_glandular/01_exocrine/05_compound/index.html,nó de navegação curricular,Compound,Tecidos > Epitélio > Glandular > Exocrine > Compound,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/compound/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/epitelio/glandular/exocrine/compound
305,03_tecidos/02_epitelio/02_glandular/01_exocrine/index.html,nó de navegação curricular,Exocrine,Tecidos > Epitélio > Glandular > Exocrine,https://digitalhistology.org/tissues/epithelium/glandular/exocrine/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/epitelio/glandular/exocrine
306,03_tecidos/02_epitelio/02_glandular/02_sistema-endocrino/index.html,nó de navegação curricular,Endocrine,Tecidos > Epitélio > Glandular > Sistema Endócrino,https://digitalhistology.org/tissues/epithelium/glandular/endocrine/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/epitelio/glandular/sistema-endocrino
307,03_tecidos/02_epitelio/02_glandular/index.html,nó de navegação curricular,Glandular,Tecidos > Epitélio > Glandular,https://digitalhistology.org/tissues/epithelium/glandular/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/epitelio/glandular
308,03_tecidos/02_epitelio/index.html,nó de navegação curricular,Epithelium,Tecidos > Epitélio,https://digitalhistology.org/tissues/epithelium/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/epitelio
309,03_tecidos/03_tecido-conjuntivo/01_visao-geral/index.html,página de lâmina,Overview,Tecidos > Tecido Conjuntivo > Visão Geral,https://digitalhistology.org/tissues/connective/overview/,"Connective tissue is characterized by an abundant extracellular matrix surrounding cells. The matrix is composed of fibers, ground substance and tissue fluid. Variation in type, consistency and quantity of these components, in addition to variation in cell type and numbers, imparts characteristics and functions unique to each of the four major connective tissue subdivisions.",1,4,Blood | Connective tissue proper | Cartilage | Bone,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/visao-geral
310,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/01_overview-of-connec/01_overview-1/index.html,página de lâmina,Connective tissue proper overview,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Overview of connective tissue proper > Overview 1,https://digitalhistology.org/tissues/connective/connective-tissue-proper/overview-connective-proper/overview-1/,"Connective tissue proper is composed of cells and an extracellular matrix, consisting of fibers and ground substance. Cells of connective tissue produce matrix, store fat, phagocytose, or provide immunological defense. Fibers provide strength and elasticity. Cells and fibers are surrounded by a gelatinous ground substance that provides padding and allows diffusion. The functional and physical characteristics of a connective tissue depend on the composition and arrangement of these elements.",1,10,Cells | Fibroblast | Macrophage | Plasma cell | Mast cell | Extracellular matrix | Ground substance | Collagen fibers | Elastic fibers | Reticular fibers,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/overview-of-connec/overview-1
311,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/01_overview-of-connec/02_overview-2/index.html,página de lâmina,Connective tissue proper overview,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Overview of connective tissue proper > Overview 2,https://digitalhistology.org/tissues/connective/connective-tissue-proper/overview-connective-proper/overview-2/,The components of connective tissue proper are cells and an extracellular matrix consisting of fibers and ground substance. Varying the types and quantities of each of these components results in the formation of the different types of connective tissue proper. 400x,1,8,Cells of connective tissue | Fibroblasts | Adipocytes | Macrophages - | Extracellular matrix | Fibers | Ground substance | Blood vessels,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/overview-of-connec/overview-2
312,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/01_overview-of-connec/index.html,nó de navegação curricular,Overview of connective tissue proper,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Overview of connective tissue proper,https://digitalhistology.org/tissues/connective/connective-tissue-proper/overview-connective-proper/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/overview-of-connec
313,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/01_cells-1/index.html,página de lâmina,Connective tissue cells,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 1,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-1/,"Connective tissue proper is populated by a variety of cell types that differ in their morphology, function, mobility and origin.",1,12,Resident cells | Fibroblasts | Adipocytes | Macrophages | Mast cells | Migratory cells | Lymphocytes | Plasma cells | Granular leukocytes | Neutrophils | Eosinophils | Basophils,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-1
314,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/02_cells-2/index.html,página de lâmina,Fibroblasts,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 2,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-2/,"Fibroblasts are the most common cells in connective tissue proper. They are elongated or stellate shaped and produce both fibers and ground substance. These images compare connective tissues in which the majority of the fibroblasts are active (upper panel) with one in which the fibroblasts are inactive. The cytoplasm of fibroblasts is not always visible by light microscopy, and thus, cells must be identified primarily by their nuclei. 1000x, 1000x",1,3,Active fibroblast nuclei | Inactive fibroblast nuclei | Collagen bundles,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-2
315,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/03_cells-3/index.html,página de lâmina,Active fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 3,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-3/,Active fibroblasts are resident cells found in connective tissues. Their nuclei are euchromatic and elongated. This toluidine blue stain of loose connective tissue beneath an epithelium demonstrates the pale-staining collagen fibers and heavily stained elastic fibers. Blood vessels are also visible. 1000x,1,6,Fibroblast nuclei | Elastic fibers | Collagen fibers | Epithelium | Mast cell | Blood vessels,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-3
316,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/04_cells-4/index.html,página de lâmina,Active fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 4,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-4/,The cytoplasm of an active fibroblast is resolved better with the electron microscope. This cell has a euchromatic nucleus with a prominent nucleolus. The cell is surrounded by abundant collagen fibrils that are cut in both longitudinal and cross section. 8000x,1,4,Fibroblast nucleus | Nucleolus | Collagen fibrils - longitudinal section | Collagen fibrils - cross section,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-4
317,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/05_cells-5/index.html,página de lâmina,Active fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 5,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-5/,This electron micrograph of dense irregular connective tissue shows active fibroblasts surrounded by collagen and elastic fibers. Active fibroblasts have euchromatic nuclei and in this tissue they have thin cell processes. 5000x,1,4,Fibroblast nuclei | Fibroblast processes | Collagen fibers | Elastic fibers,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-5
318,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/06_cells-6/index.html,página de lâmina,Active fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 6,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-6/,"The fibroblast is responsible for the synthesis and secretion of collagen and elastic fibers, as well as the ground substance. This cell contains the extensive rough endoplasmic reticulum and Golgi apparatus needed for this synthetic activity. The highly euchromatic nucleus, seen in the upper portion of the micrograph is indicative of an actively secreting cell. 8000x",1,5,Nucleus | Rough endoplasmic reticulum | Golgi | Mitochondria | Plasma membrane,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-6
319,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/07_cells-7/index.html,página de lâmina,Inactive fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 7,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-7/,"In this dense irregular connective tissue, numerous inactive fibroblasts are surrounded by large collagen bundles. Fibroblasts are spindle- to stellate-shaped cells with attenuated cellular processes extending from dark, heterochromatic nuclei. The space surrounding the cells and the collagen is filled with ground substance. 1000x",1,4,Nuclei | Processes | Collagen bundles | Ground substance,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-7
320,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/08_cells-8/index.html,página de lâmina,Inactive fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 8,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-8/,"Inactive fibroblasts are the predominate cell type in an adult tendon, which is classified as dense regular connective tissue. Highly flattened, heterochromatic fibroblast nuclei are interspersed with collagen bundles oriented in parallel. Thin fibroblast processes with sparse cytoplasm are visible extending from the tips of the nuclei. 1000x",1,4,Fibroblast nuclei | Fibroblast processes | Collagen bundles | Capillary,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-8
321,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/09_cells-9/index.html,página de lâmina,Inactive fibroblast,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 9,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-9/,This relatively inactive fibroblast is located in the dense connective tissue capsule that surrounds the kidney. This cell has a mostly heterochromatic nucleus and thin processes. 7000x,1,3,Fibroblast nucleus | Fibroblast processes | Collagen,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-9
322,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/10_cells-10/index.html,página de lâmina,Adipocyte,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 10,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-10/,"Adipocytes, or fat cells, are non-motile resident cells filled with stored lipid. This centrally located lipid compresses the remaining cytoplasm to a thin, outer rim. Each heterochromatic nucleus is visible as a crescent on one side of the cell. These adipocytes, as well as adjacent glands, are surrounded by a loose connective tissue. 300x",1,4,Adipocytes | Adipocyte nuclei | Collagen fibers | Glandular tissue,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-10
323,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/11_cells-11/index.html,página de lâmina,Adipocyte,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 11,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-11/,"Adipocytes are found individually or in small clusters in loose connective tissue. They can also form an entire tissue, called adipose connective tissue as seen here. The cells are surrounded by a stroma of loose connective tissue. Adipocytes contain a single large lipid droplet that compresses the nucleus and cytoplasm to the periphery of the cell. The lipid is extracted during tissue processing and, therefore, the cells appear empty. 400x",1,5,Adipocytes | Adipocyte nuclei | Active fibroblast nuclei | Capillaries | Collagen fibers,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-11
324,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/12_cells-12/index.html,página de lâmina,Adipocyte,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 12,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-12/,"A small accumulation of adipocytes is seen here in a loose connective tissue. This tissue has been fixed with osmium tetroxide, which preserves the large lipid droplet and prevents it from being extracted during tissue preparation. The reaction of osmium with the lipid produces the brown-black staining. 1000x",1,3,Adipocytes filled with lipid | Collagen fibers | Peripheral nerve,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-12
325,03_tecidos/03_tecido-conjuntivo/02_tecido-conjuntivo/02_celulas/13_cells-13/index.html,página de lâmina,Macrophage,Tecidos > Tecido Conjuntivo > Tecido Conjuntivo Propriamente Dito > Células > Cells 13,https://digitalhistology.org/tissues/connective/connective-tissue-proper/cells/cells-13/,"Macrophages are the major phagocytic cell in connective tissue. They are derived from blood-borne monocytes (upper left) that migrate into the tissue (two lower left panels). The ultrastructure of a macrophage is shown on the right. Macrophage nuclei are oval-shaped and frequently indented, reflecting the cell’s origin from a monocyte. The pink cytoplasm, when visible, contains numerous lysosomes and phagocytosed material. 1000x (LM), 8000x (EM)",1,6,Monocyte in blood | Macrophages in tissue | Nuclear indentation | Cytoplasm | Lysosomes | Membrane ruffles,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/tecido-conjuntivo/tecido-conjuntivo/celulas/cells-13
